paper,metric,midpoint,lower_bound,upper_bound,rationale
Fangwa et al. 2023,advancing_knowledge,80.0,73.0,88.0,Advances literature on performance-based financing by showing effectiveness when bundled with auditing/feedback; informs governance of nonprofits in LMICs. Contribution is applied but meaningful; generalizability and mechanism decomposition remain open.
Fangwa et al. 2023,logic_communication,90.0,84.0,95.0,"Clear motivation, theory of complementarities, transparent identification, coherent results, and policy discussion. Figures/tables aid understanding. Well-structured and cautious about limits."
Fangwa et al. 2023,open_science,60.0,45.0,72.0,"Administrative data described and identifiers noted; data appendix exists. However, underlying data likely restricted; code availability unclear; no preregistration. Replication feasible with access but not turnkey."
Fangwa et al. 2023,global_relevance,92.0,86.0,96.0,Directly relevant to global health delivery and donor policy in LMICs; quantifies effects on mortality and efficiency; actionable for practitioners. Context-specificity slightly tempers universality.
Frech et al. 2023,overall,78.0,68.0,86.0,"Strong, policy-relevant framing linking pharma pricing to global public goods; combines theory with transparent back-of-envelope empirics. Evidence is credible but rests on simplifying assumptions (MC proxies, quasi-rents as contributions), limited causal identification, and modest robustness. Communication is clear; usefulness for policy discussions is high."
Frech et al. 2023,claims_evidence,72.0,60.0,82.0,"Main claims are explicit: US bears disproportionate quasi-rent burden; ROW partially free rides; contributions scale with GDP. Evidence triangulates RAND prices and simple regressions. However, MC assumptions, basket comparability, endogeneity, and measurement error constrain strength; sensitivity is limited though two MC values are tried."
Frech et al. 2023,methods,65.0,55.0,76.0,"Theory is standard (Samuelson/Lindahl; Nash; alliances). Empirics use transparent construction of contributions and OLS on GDP with dummies. Reasonable, but identification is descriptive; potential confounding and simultaneity not addressed; robustness limited beyond alternative MC and functional form. Still appropriate for the question’s scope."
Frech et al. 2023,advancing_knowledge,70.0,58.0,80.0,"Clarifies partial free-riding narrative with quantified contributions; links to alliance theory and offers policy levers. Adds synthesized, updated cross-country estimates leveraging RAND. Not a methodological breakthrough but provides actionable perspective for pricing and international coordination debates."
Frech et al. 2023,logic_communication,80.0,70.0,88.0,"Clear statement of objectives, logical flow from theory to measurement to regression. Transparent formulas and worked examples; limitations acknowledged. Lengthy but organized; figures/tables aid comprehension. Some repetition and potential overreach in normative conclusions, but generally careful."
Frech et al. 2023,open_science,55.0,40.0,68.0,"Data sources are public (RAND, PWT), and construction is described. However, no posted code/data package evident; some computations rely on transformed indices and assumptions that would benefit from replication files. Reproducibility is feasible but requires effort."
Frech et al. 2023,global_relevance,82.0,72.0,90.0,"Directly relevant to international drug pricing, innovation incentives, and global health. Results inform US-ROW policy bargaining and cost-sharing debates. Applicability spans OECD; less direct for low-income settings but conceptually pertinent."
Green et al. 2025,overall,80.0,70.0,88.0,"Clear question, rigorous inclusion of RCTs, robust analyses (RVE, publication-bias sensitivity), and careful interpretation. Findings are policy-relevant and temper prior optimism. Limitations: many self-reported outcomes, limited choice-architecture RCTs, heterogeneity, and some imputation choices. Strong but not definitive."
Green et al. 2025,claims_evidence,82.0,72.0,90.0,Claims are precise (small pooled SMD; RPM vs MAP distinction) and aligned with evidence. Publication-bias analyses strengthen credibility. Appropriate caution on substitution and external validity. Some reliance on coarse outcomes tempers strength.
Green et al. 2025,methods,84.0,75.0,92.0,"Transparent RCT-only criteria, longest follow-up per intervention, RVE with small-sample correction, multiple publication-bias methods, prereg-like clarity. Reproducible pipeline. Constraints: limited eligible studies in key categories; some self-report; unspecified-null handling could bias slightly."
Green et al. 2025,advancing_knowledge,76.0,65.0,85.0,Reframes field by showing modest behavioral effects versus prior attitude-focused reviews; distinguishes MAP vs RPM outcomes; highlights research gaps. Practical implications for funders and practitioners. Advances are incremental given evidence limits.
Green et al. 2025,logic_communication,80.0,70.0,88.0,Reasoning is coherent; moderators and limitations are explicitly discussed; figures/tables informative. Narrative is balanced and avoids overclaiming. Could further streamline dense sections and clarify some coding decisions.
Green et al. 2025,open_science,88.0,78.0,95.0,"Code/data repository DOI, Rmarkdown, containers, detailed extraction and conversions, author contacts, and robustness checks. Strong replicability culture; minor gaps possible in full datasets from all included studies."
Green et al. 2025,global_relevance,86.0,75.0,93.0,"High salience for climate, public health, and animal welfare. Actionable takeaways for institutions considering nudges/persuasion. Limits: generalizability across cultures and settings; many university contexts."
Hahn et al. 2025,overall,96.0,92.0,99.0,"Ambitious synthesis applying MVPF to 96 climate policies with harmonized externality valuation and novel LBD sufficient-statistics. Strong empirical grounding, careful sensitivity, clear implications for policy portfolios. Minor uncertainties on incidence assumptions and LBD causality prevent 100."
Hahn et al. 2025,claims_evidence,94.0,90.0,98.0,"Claims are explicit; evidence spans quasi-experimental literature, transparent translations to MVPF, and extensive robustness (SCC ranges, rebound, firm profits, LBD on/off). Some inputs (e.g., LBD causality, SCC incidence) rest on assumptions acknowledged but still uncertain."
Hahn et al. 2025,methods,92.0,88.0,97.0,"Methodological contribution is strong: formal MVPF with LBD, decomposition, GE rebound, fiscal externalities. Harmonization across studies is careful. Limits: heterogeneity in original elasticities, some modeling choices (e.g., demand isoelasticity, AVERT marginal emissions) could bias estimates."
Hahn et al. 2025,advancing_knowledge,95.0,91.0,99.0,"Reframes climate policy comparison beyond cost-per-ton, yielding actionable rankings (wind/PTC, residential solar, nudges on dirty grids, fuel taxes). Provides toolkit and unifies multiple literatures; likely to shape research and policy evaluation standards."
Hahn et al. 2025,logic_communication,93.0,89.0,97.0,"Clear structure, transparent equations, step-by-step MVPF builds, comprehensive figures/tables, candid caveats. Long and dense, but argument flow is consistent and careful about distributional weights and budget closure."
Hahn et al. 2025,open_science,88.0,82.0,94.0,"Code/data availability indicated; harmonized inputs and appendices detail mappings and assumptions. Some reliance on third-party models (AVERT, SCC) and proprietary datasets from literature; reproducibility is high but not perfect."
Hahn et al. 2025,global_relevance,98.0,94.0,100.0,"Directly targets climate policy prioritization with US and international applications; results highly policy-relevant globally (tax design, subsidies, PES). Explicit incidence to US vs global beneficiaries improves transferability."
Haushofer et al. 2020,overall,88.0,80.0,94.0,"Large preregistered multi-arm RCT with strong design, clear results, and policy-relevant comparisons. Robust analyses include ANCOVA, spillovers, heterogeneity, timing, demand-effect checks, and cost-effectiveness. Communication is clear. Minor limitations: no very short-run endline, possible limited data sharing."
Haushofer et al. 2020,claims_evidence,92.0,85.0,97.0,"Core claims are precise and supported by appropriately powered estimates, multiple outcomes with FDR control, and robustness checks. Bayesian reasoning strengthens interpretation of nulls. Transparent discussion of IPV signal and limitations."
Haushofer et al. 2020,methods,90.0,83.0,95.0,"Two-stage randomization, large N, stratification, ANCOVA, clustered SEs, spillover design, ITT, multiplicity control, demand-effect test, timing analysis. Minor concerns: no very-early follow-up; PM+ fidelity measurement mostly supervisory; some self-report outcomes."
Haushofer et al. 2020,advancing_knowledge,85.0,77.0,91.0,Important comparative evidence cash vs psychotherapy in LMICs with null on PM+ and positive on cash; informs program design and cost-effectiveness. Adds nuance on complementarity and frequency of transfers. Generality to other contexts cautiously discussed.
Haushofer et al. 2020,logic_communication,88.0,82.0,93.0,"Clear narrative, pre-analysis alignment, thorough appendices, figures/tables convey estimates and uncertainty. Limitations and alternative explanations addressed. Dense but coherent."
Haushofer et al. 2020,open_science,70.0,58.0,82.0,"Pre-registered with detailed PAP; extensive online appendix. Data/code availability not fully evident for replication (privacy constraints likely). Good transparency, room to improve by releasing de-identified data/code."
Haushofer et al. 2020,global_relevance,86.0,78.0,92.0,"High policy salience for poverty, mental health, and cash transfers in LMICs; cost comparisons practical. External validity beyond rural Kenya moderate but discussed."
Hill et al. 2024,overall,95.0,91.0,98.0,"Ambitious, well-executed meta-research with clear framework, massive multi-domain datasets, strong robustness, and compelling quasi-experiments. Results are novel, policy-relevant, and carefully contextualized. Minor concerns: residual selection/measurement limits and reliance on proprietary data for full replication."
Hill et al. 2024,claims_evidence,93.0,89.0,96.0,"Core claims are precise and consistently supported across papers and patents, with field/time normalization, FE models, and diff-in-diff on retractions. Multiple outcome measures corroborate. Causal language mostly cautious, though some mechanisms remain suggestive."
Hill et al. 2024,methods,91.0,87.0,95.0,"Sound construction of pivot via cosine similarity, extensive robustness (alternative codings, windows, panels), event-study DiD, IV via shocks. Remaining risks: author disambiguation limits, Dimensions field coding noise, unobserved confounding in observational segments."
Hill et al. 2024,advancing_knowledge,94.0,90.0,97.0,"Introduces a generalizable pivot metric and documents a pervasive, growing penalty with actionable implications for researchers, teams, funders, and org strategy. Bridges science and invention evidence and challenges popular exploration/outsider narratives."
Hill et al. 2024,logic_communication,95.0,92.0,98.0,"Clear framing, definitions, and visualizations; consistent normalization; careful discussion of mechanisms and limitations; comprehensive SI. Arguments track evidence well without overreach."
Hill et al. 2024,open_science,72.0,62.0,82.0,"Uses large third-party datasets (Dimensions, PatentsView, SciSciNet). Methods are transparent and many checks provided. Full replication may be constrained by proprietary data and unclear code/data release at time of draft."
Hill et al. 2024,global_relevance,88.0,82.0,93.0,"High relevance for science policy, funding portfolios, crisis responsiveness, and R&D strategy. Broad applicability across fields and to technology. Less directly tied to specific global priority interventions than domain-specific causal studies."
Jack et al. 2022,overall,92.0,88.0,96.0,"High-quality RCT on salient policy problem; clear results with satellite validation; strong cost-effectiveness analysis. Credible design, large sample, careful monitoring. Minor limitations: reliance on remote-sensing thresholds, limited heterogeneity identification, scaling/monitoring challenges."
Jack et al. 2022,claims_evidence,91.0,86.0,95.0,Main claims precise: upfront PES increases compliance and reduces burning; standard PES inframarginal. Evidence from RCT plus remote sensing aligns and is transparently contrasted across thresholds. Some uncertainty remains on mechanisms and external validity.
Jack et al. 2022,methods,90.0,85.0,94.0,"Village-level randomization, prespecified pooling, clustered SEs, Lee bounds for attrition, RF-based burn detection with holdout validation. Sensitivity to classification addressed. Limits: negative labels only in treatment for RS training; limited power for some heterogeneity; monitoring relies on farmer-initiated calls."
Jack et al. 2022,advancing_knowledge,88.0,82.0,92.0,Novel contract-design result for PES/CTs in LMIC agriculture with major environmental externality. Demonstrates effectiveness and cost-effectiveness of upfront components. Adds to PES and pollution policy literatures; provides actionable insights for program design.
Jack et al. 2022,logic_communication,93.0,89.0,96.0,"Clear motivation, theory of change, design, and outcome definitions. Figures/tables well-aligned. Balanced discussion of thresholds, inframarginality, and limitations. Strong policy translation without overstating generality."
Jack et al. 2022,open_science,70.0,60.0,80.0,Pre-registered RCT noted; detailed methods and appendices; remote-sensing approach described. Data/code availability not fully evident in text; satellite model specifics referenced to working paper. Replication feasible with effort but not turnkey.
Jack et al. 2022,global_relevance,96.0,92.0,99.0,"Targets a major mortality driver in India with global analogs; high external damages, strong policy salience. Practical estimates of costs and lives saved; comparisons to power-plant abatement useful to decision-makers."
Jaroszewicz et al. 2024,overall,90.0,86.0,94.0,"Large preregistered US RCT (n=5,243) randomizing UCT amounts, rich admin and survey data, prediction study, careful multiplicity and attrition analyses, and plausible mechanism/model. Results are policy-relevant and overturn optimistic priors. Excellent execution and clarity; minor limits on generalizability and data sharing keep it short of absolute top."
Jaroszewicz et al. 2024,claims_evidence,89.0,85.0,93.0,"Core claims (no positive average survey effects; spending rose; negative effects concentrated in subjective items; mechanisms most consistent with salience) are precisely stated and strongly supported with ITT, robustness, admin data, BH/WY corrections, and bounding. Cautious on causality for mediation and mechanisms."
Jaroszewicz et al. 2024,methods,91.0,87.0,95.0,"Well-powered RCT with unequal arm optimization, preregistration/PAP, indices per Anderson, multiple testing control, extensive attrition diagnostics (Lee/HM bounds, MI), bank data validation, spending categorization, and embedded experiments. Minor risks: selective survey self-report limits; external validity; partial bank coverage."
Jaroszewicz et al. 2024,advancing_knowledge,86.0,80.0,91.0,"Advances evidence on UCTs in high-income settings, randomizes amounts, contrasts with expert/lay priors, and offers mechanism plus formal model. Narrows conditions for one-off UCTs to affect well-being and informs cash-plus design. Important null/negative findings with policy salience."
Jaroszewicz et al. 2024,logic_communication,88.0,84.0,92.0,"Clear pre-specification, transparent analyses, coherent narrative linking results, mechanisms, and model. Figures/tables are informative. Limits and caveats discussed. A few sections are dense; mechanistic claims appropriately hedged."
Jaroszewicz et al. 2024,open_science,79.0,72.0,86.0,Preregistered RCT with PAP; extensive methodological detail; many appendices. Data/code availability likely constrained by privacy/partner data; not all assets may be public. Still above-average transparency and reproducibility.
Jaroszewicz et al. 2024,global_relevance,76.0,70.0,82.0,Directly relevant to UCT policy debates in high-income countries; informs design and expectations for one-off cash vs. cash-plus. Less directly applicable to LMIC UCT settings or long-run outcomes; pandemic context may limit generality.
Kirkland et al. 2023,overall,78.0,70.0,85.0,"Large multi-country dataset, preregistered analyses, careful within/between modeling, and clear, tempered claims. Limitations include student-heavy samples, correlational design, single-item trust, and partial openness of data. Solid contribution to social/personality with cross-national scope."
Kirkland et al. 2023,claims_evidence,75.0,67.0,83.0,Main claims are specific and cautious; evidence aligns via LMMs and robustness checks. Mediation uses perceived inequality and single-item trust; causal language avoided. Between-country nulls appropriately discussed. Effect sizes modest; some measures subjective.
Kirkland et al. 2023,methods,70.0,62.0,78.0,"Preregistration, mixed models, partitioning within/between, controls, and measurement invariance checks are strengths. Weaknesses: correlational design, single-item trust, student convenience samples, potential omitted variables, and partial data availability."
Kirkland et al. 2023,advancing_knowledge,72.0,64.0,80.0,First broad cross-national look at moral expansiveness and societal correlates; links trust and perceived inequality to MES. Advances literature beyond individual differences. Practical pathways hinted but not established causally.
Kirkland et al. 2023,logic_communication,80.0,72.0,88.0,"Well-structured narrative, clear hypotheses, transparent reporting of nulls and limitations, figures/tables aid interpretation. Logical consistency between evidence and conclusions."
Kirkland et al. 2023,open_science,65.0,55.0,75.0,Preregistration and shared code are strong. Data are available upon request rather than fully open; broad collaboration and supplementary detail help reproducibility.
Kirkland et al. 2023,global_relevance,60.0,50.0,70.0,"Findings relevant to understanding societal trust and moral concern globally, with diverse country coverage. However, policy/practice translation is indirect; estimates not readily actionable; samples skewed to students and higher-income contexts."
Kremer et al. 2020,overall,84.0,75.0,92.0,"Clear, policy-relevant synthesis by leading experts, linking theory to a major real-world AMC. Strong practical insights and plausibility, but empirical identification is limited and much evidence is descriptive or comparative. Short P&P format constrains depth and methods."
Kremer et al. 2020,claims_evidence,70.0,58.0,80.0,"Claims are stated with caveats and acknowledge lack of a clean counterfactual. Uses descriptive data, comparisons to rotavirus rollout, and cost-effectiveness estimates. Appropriate characterization but modest causal strength."
Kremer et al. 2020,methods,60.0,45.0,72.0,"Summarizes a formal model (developed elsewhere) and applies intuitive welfare and calibration arguments. Limited methodological depth, no new identification or robustness analyses in this short piece."
Kremer et al. 2020,advancing_knowledge,88.0,78.0,95.0,"Synthesizes theory and practice of AMCs, distills design lessons, and informs future applications beyond health. High policy salience and influence despite modest technical novelty."
Kremer et al. 2020,logic_communication,83.0,75.0,90.0,"Well-structured, transparent logic, clear distinctions (tech distant vs close), candid about trade-offs and political economy. Concise communication with useful design guidance."
Kremer et al. 2020,open_science,55.0,40.0,70.0,"Relies on public reports and provides online appendix references, but no datasets, code, or replication package. Transparency adequate for a P&P note, limited for replication."
Kremer et al. 2020,global_relevance,96.0,90.0,99.0,Directly targets global health access and innovation incentives with large potential life-saving impact; lessons generalize to other global priority areas.
Kremer et al. 2022,overall,92.0,86.0,96.0,"High-quality systematic review/meta-analysis with robust frequentist and Bayesian models, extensive sensitivity checks, and clear policy implications. Addresses key limitation (mortality underpowered in single RCTs) well. Some residual external-validity and selection concerns remain but are thoughtfully treated."
Kremer et al. 2022,claims_evidence,90.0,83.0,95.0,"Main claims are precise (≈25–28% reduction in under-5 mortality odds) and supported by multiple models, heterogeneity assessment, and publication-bias checks. Limitations and alternative explanations are discussed. Some reliance on author-provided mortality data and incomplete blinding constrain certainty."
Kremer et al. 2022,methods,88.0,80.0,94.0,"Appropriate inclusion criteria, rare-event handling, clustering adjustments, Bayesian hierarchical modeling, predictive distributions, and numerous sensitivity analyses. Some choices (OR scale, compliance adjustments, heterogeneity imprecision) are reasonable but leave uncertainty about transportability."
Kremer et al. 2022,advancing_knowledge,94.0,88.0,98.0,Provides the strongest RCT-based synthesis to date on water quality and child mortality and links to rigorous cost-effectiveness across delivery models. Likely to shift policy and funding priorities; clarifies value despite prior skepticism about self-reported diarrhea outcomes.
Kremer et al. 2022,logic_communication,92.0,85.0,96.0,"Clear goals, transparent reasoning, consistent conclusions, and well-structured presentation of figures/tables. Limitations and priors are integrated logically. Minor complexity in cost-effectiveness assumptions may challenge some readers but is documented."
Kremer et al. 2022,open_science,89.0,80.0,95.0,"Registration noted; code and data repository provided; detailed supplement with methods and sensitivity analyses. Some mortality data depend on author provision and cannot all be shared publicly, but overall reproducibility is strong."
Kremer et al. 2022,global_relevance,98.0,94.0,100.0,"Directly relevant to LMIC policy with large potential health impact at low cost; compares delivery platforms and provides actionable CE metrics. Aligns with major global priorities (child survival, WASH) and budget-constrained decision-making."
Kubo et al. 2023,overall,82.0,74.0,88.0,"Clear causal question, credible SDID design, rich 10-year dataset, and multiple robustness checks. Findings are policy-relevant and novel on spillovers. Limits: online-auction scope, substitute selection partly ad hoc, one-year post window, potential residual confounding (COVID), and NLP species ID noise."
Kubo et al. 2023,claims_evidence,80.0,70.0,88.0,"Main claim is precise and supported by consistent positive spillover effects with CIs and placebo tests. Evidence is strongest for water bugs, moderate for others. Characterization is cautious. Limited to volumes; prices and mechanisms less fully probed."
Kubo et al. 2023,methods,78.0,68.0,86.0,"Appropriate SDID with fixed effects, seasonality, announcement exclusion, sensitivity, monthly aggregation, and placebos. Substitute/control construction reasonable but imperfect; market coverage limited to one platform; short post period constrains dynamic effects."
Kubo et al. 2023,advancing_knowledge,76.0,66.0,85.0,"Shifts focus from banned to non-banned species and quantifies spillovers, a meaningful contribution for conservation policy. Context is Japan; generalizability plausible but untested. Practical implications outlined but not experimentally validated."
Kubo et al. 2023,logic_communication,84.0,75.0,90.0,"Goals, design, and assumptions are clearly stated. Figures and SI are informative. Reasoning ties results to implications without overreach. Some terminology and selection steps could be tightened but overall strong."
Kubo et al. 2023,open_science,72.0,60.0,85.0,Plans to release data/code upon publication; uses standard R packages; SI is extensive. Full raw data accessibility may be constrained by platform terms; current availability contingent on publication.
Kubo et al. 2023,global_relevance,77.0,65.0,86.0,"High policy relevance for wildlife trade management and demand-side measures. Case study in Japan with lessons likely transferable, though market structures vary. Offers actionable monitoring and enforcement insights."
Kudymowa et al. 2023,overall,78.0,70.0,86.0,"Rigorous, well-argued applied review with concrete, defensible recommendations. Good grasp of theory and practice; careful treatment of uncertainties. Limited original empirical work and some open questions remain, so impact is moderate-high rather than field-defining."
Kudymowa et al. 2023,claims_evidence,75.0,67.0,84.0,"Main questions are clear; recommendations tied to cited literature, expert input, and explicit calculations. Evidence base is mostly secondary/theoretical with selective outreach; some parameters remain weakly justified."
Kudymowa et al. 2023,methods,73.0,62.0,82.0,"Appropriate comparative framework (SRTP vs SOC), transparent parameterization, and corrections to existing formulas. Some components rely on judgment calls and limited sensitivity analysis; health-discounting left unresolved."
Kudymowa et al. 2023,advancing_knowledge,68.0,58.0,78.0,"Adds useful synthesis for philanthropic CEAs, clarifies GiveWell’s approach, and spots a calculation issue. Advances practice more than theory; novelty moderate and audience somewhat niche."
Kudymowa et al. 2023,logic_communication,82.0,74.0,90.0,"Clear structure, transparent assumptions, explicit uncertainties, and actionable summaries. Equations and appendices aid comprehension; a few areas (compounding benefits) could be clearer."
Kudymowa et al. 2023,open_science,65.0,50.0,78.0,Public report with appendices and some spreadsheets described; reasoning quite transparent. Limited release of full replication materials and code; some inputs from private communications.
Kudymowa et al. 2023,global_relevance,72.0,60.0,82.0,Highly relevant to CEAs in global health/development and EA funders; practical implications for discounting choices. Less applicable to LMIC governments or MDBs using SOC; health discounting still uncertain.
Liang et al. 2021,overall,92.0,88.0,96.0,"Compelling, policy-relevant study linking GDP shocks to biodiversity with multiple quasi-experiments, large-scale ecological data, and careful robustness. Some external validity and representativeness limits temper maximal rating."
Liang et al. 2021,claims_evidence,90.0,85.0,95.0,"Main claims are clear and supported by convergent evidence: OLS, military-spending IV, CAA designations, and pollution IV. Effects quantified with uncertainty; heterogeneous analyses. Caveats on sample representativeness well-noted."
Liang et al. 2021,methods,91.0,86.0,95.0,"Strong identification (shift-share military, regulation shocks), thoughtful pollution IV with LASSO, extensive robustness, dynamics, alternative geographies. Remaining concerns: instrument strength in some specs, measurement error, selection."
Liang et al. 2021,advancing_knowledge,93.0,88.0,97.0,Bridges macro activity and biodiversity at scale; identifies air pollution channel; documents regulatory co-benefits. Integrates ecology datasets with econ methods; likely to shape subsequent applied work and policy debates.
Liang et al. 2021,logic_communication,88.0,84.0,93.0,"Well-structured, transparent assumptions, clear definitions, sensible decomposition. Dense in places; figures/tables informative. Could streamline some appendices for accessibility."
Liang et al. 2021,open_science,70.0,60.0,80.0,"Relies on public data (BioTIME, BEA, NASA, EPA) and details processing steps thoroughly. Unclear if code/replication package is publicly released; some proprietary compiled elements may limit full reproducibility."
Liang et al. 2021,global_relevance,86.0,80.0,92.0,"High relevance for environmental policy and natural capital accounting; direct US focus limits immediate generalizability, but methods and insights are transferable internationally."
Liang et al. 2025,overall,90.0,84.0,95.0,"Compelling applied micro paper with novel county-by-county rollout data, careful staggered DiD, rich robustness, and meaningful long-run outcomes. Clear mechanisms across health, education, cognition. Effect sizes plausible and policy-relevant. Some limitations: residual migration/measurement error, external validity outside China, and data access."
Liang et al. 2025,claims_evidence,88.0,82.0,93.0,"Main claims are precise (≈5% income rise; health/education gains). Evidence triangulates across Census, CFPS, CHNS; event studies and placebo checks bolster identification. Addresses staggered DiD heterogeneity, multiple testing, pollution, concurrent policies. Remaining concerns: exact compliance timing, potential unobserved shocks."
Liang et al. 2025,methods,87.0,80.0,92.0,"Strong design: staggered cohort DiD with county and province-by-cohort FEs, extensive robustness (county trends, alternative exposure timing, randomization inference, modern DiD estimators). Assumptions well-motivated (hukou). Limits: inevitable exposure measurement error; residual selection or migration small but possible."
Liang et al. 2025,advancing_knowledge,86.0,79.0,92.0,Adds rare direct evidence on long-run earnings from routine child health monitoring beyond infancy; broad mechanism exploration; cost-benefit back-of-envelope. Extends early-life program literature and informs LMIC policy on growth monitoring. High incremental contribution relative to prior home visiting studies.
Liang et al. 2025,logic_communication,85.0,78.0,91.0,"Clear motivation, context, and interpretation. Figures/tables coherent; event studies intuitive. Some density could be streamlined; a few assumptions could be foregrounded earlier. Overall reasoning consistent with evidence; limitations acknowledged."
Liang et al. 2025,open_science,65.0,55.0,75.0,"Novel hand-collected gazetteer data and multiple linked surveys are valuable, but replicability may hinge on access to compiled rollout dataset and code. Transparency on construction is good; full public release uncertain. Methods are clearly described, facilitating partial replication."
Liang et al. 2025,global_relevance,90.0,82.0,96.0,"Highly relevant for child health policy in LMICs; outcomes (income, health, schooling) and costs directly informative. Context (China during rollout) parallels many current settings. External validity to very different health systems still requires care."
McGuire et al. 2024,overall,86.0,78.0,92.0,"Rigorous, decision-oriented CEA with extensive meta-analysis, validity adjustments, spillover modeling, sensitivity analyses, and transparent limitations. Strong relevance to global health philanthropy. Main weaknesses: subjective weighting scheme, uncertainty in spillovers and dosage, partial reliance on non-causal M&E."
McGuire et al. 2024,claims_evidence,84.0,75.0,90.0,"Core claims are clear and appropriately hedged. Evidence spans 84 RCTs plus charity-specific RCTs and large M&E datasets; strong sensitivity/robustness work. Some claims rest on uncertain components (spillovers, pseudo-synthetic controls, dosage adjustments)."
McGuire et al. 2024,methods,80.0,70.0,88.0,"Sound multilevel meta-analysis, time-decay modeling, publication bias corrections, external validity adjustments, and Monte Carlo propagation. Novel weighting blends Bayesian + subjective inputs; reasonable but contestable. Spillover estimation evidence base thin; dosage modeling partly ad hoc."
McGuire et al. 2024,advancing_knowledge,88.0,80.0,94.0,"Substantial contribution to WELLBY-based CEA in LMIC mental health, integrating multiple evidence streams and spillovers. Provides replicable decision framework and extensive appendices. Influential for donors and prioritization debates."
McGuire et al. 2024,logic_communication,90.0,82.0,95.0,"Highly structured, transparent reasoning; clear presentation of assumptions, uncertainties, and alternatives. Detailed appendices and sensitivity tables aid understanding. Minor complexity may challenge non-technical readers."
McGuire et al. 2024,open_science,65.0,50.0,78.0,"Systematic review protocol, extensive appendices, and described R code workflow. Some underlying data proprietary (charity M&E), meta-analysis dataset/code not fully public in-text; planned journal submission. Replicability good for public components, limited for private data."
McGuire et al. 2024,global_relevance,87.0,78.0,93.0,"Directly applicable to funding decisions in global health/mental health. Provides cost and effect estimates in WELLBYs, comparisons to cash. Practical guidance for donors and policymakers in LMIC contexts."
Naidu et al. 2023,overall,92.0,85.0,97.0,"Large, policy-relevant RCT on guest worker programs with clear results: big earnings gains, significant non-pecuniary costs, careful handling of attrition, admin data linkage, prereg, and innovative MTE analysis. Strong external relevance and coherent narrative. Minor risks: attrition imbalance and linear MTE assumption."
Naidu et al. 2023,claims_evidence,90.0,83.0,95.0,Main questions are explicit; ITT and IV effects precisely estimated; bounding and reweighting for attrition; admin data validation; clear heterogeneity and MTE. Claims mostly aligned to evidence; some extrapolation (linear MTE) flagged as assumption-dependent.
Naidu et al. 2023,methods,88.0,80.0,93.0,"Randomized job offers, clustered FE, attrition reweighting, admin imputation, Manski bounds, MTE under linearity. Robustness thoughtful. Remaining concerns: attrition imbalance, external validity beyond construction/UAE, linear MTE restrictiveness."
Naidu et al. 2023,advancing_knowledge,92.0,86.0,97.0,"First causal decomposition including intermediary fees and non-pecuniary costs in GCC guest work; quantifies SWB tradeoffs; reservation wages; links to monopsony/policy design. High contribution for migration, labor intermediation, and development policy."
Naidu et al. 2023,logic_communication,88.0,82.0,93.0,"Clear setup, transparent assumptions, consistent conclusions; figures and appendices support claims. Dense but well structured. Some sections could streamline exposition of MTE assumptions and policy counterfactuals."
Naidu et al. 2023,open_science,68.0,58.0,78.0,AEARCTR registration; methods transparent; uses admin data. Data/code availability unclear and some admin data likely restricted. Replication feasible but may require agreements; materials reasonably well documented.
Naidu et al. 2023,global_relevance,94.0,88.0,98.0,"High salience for massive GCC corridors; concrete estimates useful to governments, multilaterals, and firms; informs regulation on wages, brokers, and standards. Results generalizable to similar guest-worker schemes."
Peterman et al. 2025,overall,88.0,80.0,94.0,"Large, timely meta-analysis across 93 studies/45 LMICs; preregistered, clear questions, robust RVE and sensitivity checks, nuanced discussion, and actionable implications. Heterogeneity is high and moderator findings are thin, limiting precision and design guidance, but core conclusions are credible and policy-relevant."
Peterman et al. 2025,claims_evidence,90.0,83.0,95.0,"Claims are specific and matched to evidence; pooled effects disaggregated by modality and outcomes with RVE, alt models, and influence diagnostics. Limitations and uncertainty (heterogeneity, power, publication bias checks) are transparently discussed. Some domains lack power, tempering breadth of claims."
Peterman et al. 2025,methods,86.0,78.0,92.0,Clear inclusion criteria; RCT-only focus; PROSPERO; PRISMA; standardized SMD to Hedges’ g; RVE with meta-regression; multiple robustness checks. Very high I2 and limited moderator explanatory power reduce interpretability; effect dependency handled but measurement heterogeneity remains.
Peterman et al. 2025,advancing_knowledge,85.0,75.0,92.0,"Synthesizes expansive recent literature beyond cash-only, quantifies agency/economic effects, and contrasts modalities with policy implications (e.g., UCT vs CCT). Highlights cost-benefit evidence gaps and gender-lens needs. Limited design levers identified due to heterogeneity/power constrains advancement somewhat."
Peterman et al. 2025,logic_communication,88.0,80.0,94.0,"Well-structured narrative; clear definitions of outcomes and modalities; figures/tables communicate key results; limitations stated; policy implications grounded in findings without overreach. Some sections dense and technical, but overall reasoning is coherent and consistent."
Peterman et al. 2025,open_science,70.0,55.0,85.0,"Preregistered; promises to deposit data/replication on acceptance; supplementary detail appears extensive. However, extraction form not public; some dependencies on author-shared data; not all materials yet openly available, lowering reproducibility until deposit occurs."
Peterman et al. 2025,global_relevance,93.0,88.0,98.0,"High salience for LMIC social protection and gender equality; broad geographic coverage; directly informs design choices across governments and NGOs; includes costing evidence synthesis. Practical, policy-relevant insights amid global shocks and scaling of SSNs."
